P,E,Q
0.398275863,4.15862069,5.825565548
2.85344829,4.429310345,4.490574522
1.543103447,4.594827586,3.993914949
4.579310329,4.389655172,3.335173789
0.820689653,4.15,2.961075158
3.12758619,4.206896552,2.708563799
4.213793132,3.127586207,2.431884515
2.500000021,3.925862069,2.177095459
14.96724138,3.360344828,2.192448177
23.84827589,2.505172414,2.295031459
4.73620692,3.068965517,3.049835779
5.110344795,3.487931034,3.545382584
1.884482746,3.568965517,3.901277028
1.815517219,4.098275862,4.514168676
3.905172383,4.243103448,4.307958891
8.467241327,3.805172414,4.168167435
5.408620776,3.784482759,3.495586224
12.77931035,4.1,3.346753528
4.843103481,3.734482759,3.067553128
1.770689639,3.839655172,2.854875381
2.641379278,3.843103448,2.293136277
3.115517243,3.979310345,1.986760001
7.881034495,4.115517241,1.887219442
15.31896553,3.646551724,1.748958041
4.258620708,3.524137931,1.690207378
4.265517238,3.312068966,1.782306302
1.61724139,3.494827586,1.924862291
5.750000023,3.886206897,1.901633263
0.182758622,4.127586207,1.807795639
0,4.129310345,1.606610695
0,4.289655172,1.592544615
1.474137946,4.50862069,1.464906669
0.022413793,4.501724138,1.252663595
0.039655173,4.289655172,1.134449402
0.281034485,4.212068966,0.900107454
0,4.101724138,0.795385571
0.763793102,4.079310345,0.885085089
1.8551724,4.253448276,0.790256407
0.549999993,4.182758621,0.78253658
0.834482754,4.170689655,0.374411596
0.731034481,4.296551724,0.422816996
0.084482761,4.167241379,0.4265552
2.275862082,4.260344828,0.395536798
0.39655172,4.186206897,0.430693306
0.248275861,4.137931034,0.406108092
1.881034483,4.063793103,0.409776748
28.27758589,3.55,0.488348588
3.182758629,3.174137931,0.503388341
7.277586204,3.262068966,0.436535337
12.85344824,2.456896552,0.401622247
13.45344831,2.884482759,0.403534816
10.54482759,2.889655172,0.483045554
1.82758621,3.322413793,0.651873296
1.767241389,3.529310345,1.07736789
3.051724159,3.817241379,2.048709871
1.494827581,3.606896552,1.785192543
1.017241381,3.453448276,1.468679647
2.077586229,3.45,0.90621029
1.30000001,3.506896552,0.971081177
0.00862069,3.598275862,0.839878896
0,3.725862069,0.817327961
0,3.612068966,0.857335441
0.481034493,3.54137931,0.854414426
0.617241388,3.337931034,0.868237089
3.370689642,3.505172414,0.68908147
1.136206919,3.213793103,0.661783885
3.724137955,3.218965517,0.726637384
0.006896552,3.193103448,0.712553916
0.891379303,2.910344828,0.701617495
0.422413793,3.134482759,0.572084366
0.00862069,3.184482759,0.521105691
0,3.075862069,0.52545244
0.260344829,3.336206897,0.52545244
1.339655157,3.362068966,0.520618855
0.925862064,3.668965517,0.509230372
0.508620686,3.367241379,0.509230372
0.2362069,3.220689655,0.388043002
0,3.372413793,0.356642085
0,3.625862069,0.337742419
0,3.675862069,0.338037998
0,3.722413793,0.338037998
0.003448276,3.586206897,0.316999732
0.010344828,3.25,0.316999732
0.001724138,3.182758621,0.323989304
0,3.413793103,0.323989304
0,3.548275862,0.323989304
0,3.486206897,0.298187001
0,3.603448276,0.302898877
0,3.431034483,0.292657936
0.063793104,3.256896552,0.288763248
0.270689652,3.072413793,0.288763248
0,3.484482759,0.282364833
0,3.65,0.282364833
0,3.712068966,0.283703632
0,3.7,0.268281366
0,3.724137931,0.257431879
0,3.725862069,0.252598294
0,3.620689655,0.241192424
0,3.431034483,0.235402554
0,3.40862069,0.234637526
0.018965518,3.529310345,0.231299223
0.012068966,3.625862069,0.221284313
0.003448276,3.567241379,0.206261947
0,3.1,0.206261947
0,3.018965517,0.205409984
0,3.415517241,0.205409984
0,3.475862069,0.231925155
0,3.498275862,0.251676783
0,3.525862069,0.24393957
0,3.660344828,0.228047854
0,3.55862069,0.223562009
0,3.49137931,0.215824795
0,3.384482759,0.203097513
0,3.439655172,0.203097513
